Product Name,Current Factory,Test Factory,Current Predicted Lead Time,Predicted Lead Time,Lead Time Reduction,Lead Time Reduction %,Average Gross Profit,Scenario Confidence Score
Hair Toffee,The Other Factory,Sugar Shack,1466.7185320508022,1364.3311662932965,102.38736575750568,6.980709899011443,14.875,6.980709899011443
Kazookles,The Other Factory,Sugar Shack,1287.5770650599848,1185.189699302479,102.38736575750568,7.951940783655985,0.9661458333333334,7.951940783655985
Everlasting Gobstopper,Secret Factory,Sugar Shack,1386.6245881982964,1298.508743854394,88.11584434390238,6.354700839280173,34.666666666666664,6.354700839280173
Lickable Wallpaper,Secret Factory,Sugar Shack,1338.6219618972084,1250.506117553306,88.11584434390238,6.582578715428898,41.808510638297875,6.582578715428898
Wonka Gum,Secret Factory,Sugar Shack,1282.5683833576645,1194.4525390137621,88.11584434390238,6.870264812954607,2.5891666666666664,6.870264812954607
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,Sugar Shack,1320.8431131692182,1246.4230256277,74.42008754151811,5.634286676405896,9.378633720930232,5.634286676405896
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,Sugar Shack,1324.7987998482026,1250.3787123066847,74.42008754151789,5.617463387651397,9.29279005524862,5.617463387651397
Wonka Bar - Fudge Mallows,Lot's O' Nuts,Sugar Shack,1310.0985067454733,1235.6784192039554,74.42008754151789,5.680495562611633,9.127392739273926,5.680495562611633
Wonka Bar - Milk Chocolate,Wicked Choccy's,Sugar Shack,1311.5472338069446,1240.6437110461384,70.90352276080625,5.406097541374787,8.162550304164716,5.406097541374787
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,Sugar Shack,1319.287268525826,1248.3837457650197,70.90352276080625,5.37438088370503,9.235831265508684,5.37438088370503
